,Title,Authors,referencia,Abstract,Author Keywords,fonte
artivo10,"""A CONSTITUCIONALIDADE DO SISTEMA DE COTAS UNIVERSITÁRIAS: UM ESTUDO COMPARATIVO ENTRE BRASIL E ESTADOS UNIDOS""","""Margarida Maria Lacombe Camargo | Henrique Cunha Rangel""","""Revista Direito e Justiça, 01 October 2015, Vol.15(25), pp.68-92 [Periódico revisado por pares]""","""O artigo aponta para um estudo comparativo entre as experiências constitucionais brasileira e norte-americana, a respeito da adoção do sistema de cotas nas universidades como modalidade de ação afirmativa. São apresentados, de forma sistematizada, os argumentos dos ministros daquela mais alta corte no Caso Gruttervs Bollinger (2003),[1] com vistas a uma comparação com os fundamentos trazidos pelo Supremo Tribunal Federal brasileiro na ADPF 186 (2009).[2] Ambas as decisões consideradas como paradigmáticas, leading cases, na matéria. Por comparação procura-se perceber o substrato teórico que anima a prática das duas Cortes e promove os seus respectivos desenhos institucionais.""",,
artivo11,"""Desempenho dos candidatos no vestibular e o sistema de cotas na UERJ""","""de Mello e Souza_ A-""","""Ensaio, October 2012, Vol.20(77), pp.701-724 [Periódico revisado por pares]""","""A pesquisa problematiza as políticas de ações afirmativas como instrumento de inclusão social à universidade brasileira. Estabelece as relações entre a reestruturação produtiva, reforma de Estado e políticas educacionais; a educação superior no Brasil no contexto do modo-de-produção capitalista... """,,Directory of Open Access
artivo12,"""A cor da universidade do Estado de Mato Grosso: um recorte da análise das concepções dos professores sobre o sistema de cotas para negros""","""Bruno Cezar Figueredo | Fátima Aparecida Da Silva Iocca""","""Eventos Pedagógicos, 01 July 2013, Vol.4(1), pp.51-62 [Periódico revisado por pares]""","""Este artigo aborda a temática do Sistema de Cotas para Negros na UNEMAT e teve como objetivo analisar as percepções de dois professores da instituição Campus de Sinop quanto às implicações observadas ou presenciadas em relação ao aluno cotista, e consequentemente, decorrências de questões adjacentes a temática étnico-racial. A pesquisa parcial apresentada aqui segue a abordagem qualitativa, com questionário aberto e estruturado. Concluiu-se, que a discussão concernente a temática é tímida na universidade, poucas vezes sendo situadas nas práticas de aula, incitadas pelos dispositivos acadêmicos e de departamentos.""","""políticas afirmativas; sistema de acesso; ensino superior""",Directory of Open Access
artivo13,"""Sistema de cotas: uma perspectiva de análise a partir do caso da Universidade Estadual do Norte Fluminense Darcy Ribeiro""","""Ludmila Gonçalves Da Matta""","""Vértices, 01 December 2010, Vol.12(3), pp.107-124 [Periódico revisado por pares]""","""Este trabalho tem por objetivo oferecer uma introdução à discussão sobre políticas de ação afirmativa e condição socioeconômica a partir da abordagem do caso específico da implementação da política de cotas para estudantes negros ou pardos na Universidade Estadual do Norte Fluminense Darcy Ribeiro (UENF). Neste trabalho, além da discussão teórica, realizamos um trabalho de pesquisa em que traçamos o perfil socioeconômico dos alunos beneficiados pelas cotas para negros e pardos, o qual foi analisado em termos comparativos com um estudo realizado na Universidade Federal Fluminense (UFF). """,,Directory of Open Access
artivo14,"""O DIREITO FUNDAMENTAL AO TRABALHO DAS PESSOAS COM DEFICIENCIA: DIRETRIZES PARA A EFETIVACAO DO SISTEMA DE COTAS""","""Pessoa_ Flavia Moreira Guimaraes | Andrade_ Layanna Maria Santiago""","""Quaestio Iuris, 2016, Vol.9(3), p.1700(41) [Periódico revisado por pares]""","""Lastreado nos ditames constitucionais, o presente estudo se propoe a analisar a acessibilidade das pessoas com deficiencia ao mercado de trabalho, com enfoque nas politicas publicas desenvolvidas para efetivar o direito ao labor de tal grupo minoritario. Em consonancia com esse objetivo, sera feito um exame em torno do conceito de deficiencia, atraves de um levantamento bibliografico, bem como da legislacao que disciplina a materia, na perspectiva de garantir uma leitura critica acerca do tema. O procedimento metodologico sera o hipoteticodedutivo (cientifico). O metodo de abordagem sera hermeneutico, em particular a hermeneutica juridica constitucional concretizadora, com enfase nos criterios interpretativos da maxima efetividade, identidade e concordancia pratica, onde se procedera a uma analise axiologica das normas e atos. Sugerindo, apos, modificacoes necessarias, normativas e executivas, para albergar nao somente pessoas portadoras de deficiencias fisicas, mas tambem todas aquelas que, de alguma forma, apresentam limitacoes, impedindo o livre e amplo acesso ao mercado de trabalho. Comprava-se, ainda, o uso abusivo das cotas, razao pela qual, o estudo indica meios para afastar tais praticas nefastas. Palavras-Chave: Deficiencia; Politica afirmativa; Concretizacao Constitucional; Justica Social; Igualdade Material """,,"""Cengage Learning"""
artivo15,"""A universidade no Brasil e políticas de ações afirmativas""","""Paulo Gomes Lima""","""Revista Histedbr On-line, 01 June 2012, Vol.11(44), pp.156-170 [Periódico revisado por pares]""","""Esse trabalho analisa a universidade no Brasil no contexto do modo-de-produção capitalista a partir das políticas de ações afirmativas e sua projeção ideológica na contenção do acesso e democratização às classes sociais menos favorecidas. Apresenta... """,,Directory of Open Access
artivo16,"""Ações afirmativas em perspectiva""","""Marcos Antonio Batista Da Silva""","""Fronteiras & Debates, 01 October 2017, Vol.3(2), pp.167-174 [Periódico revisado por pares]""","""Resenha de: ARTES, Amélia; UNBEHAUM, Sandra; SILVÉRIO, Valter (orgs.). Ações Afirmativas no Brasil: experiências bem-sucedidas de acesso na pós-graduação. São Paulo: Cortez: Fundação Carlos Chagas, 2016. 288 p, v. 1. """,,Directory of Open Access
artivo17,"""Sociogênese do racismo: raça, ações afirmativas e democracia""","""David Junior de Souza Silva""","""Em Tese, 01 July 2015, Vol.12(1), pp.155-178 [Periódico revisado por pares]""","""http://dx.doi-org.ez86.periodicos.capes.gov.br/10.5007/1806-5023.2015v12n1p155 Este trabalho reflete sobre a discriminação racial. Sua originalidade funda-se na tentativa de buscar aprofundar as reflexões sobre a temática racial através de uma abordagem que se estabeleça sobre a assemelhação substantiva das diferentes... """,,Directory of Open Access
artivo18,"""A construção histórica das ações afirmativas para afrodescendentes no Brasil""","""Baez_ Narciso Leandro Xavier""","""Revista Brasileira de Direito, 2017, Vol.13(3), pp.514-538 [Periódico revisado por pares]""","""Este artigo tem por objetivo estudar o nível de efetividade das ações afirmativas historicamente construídas para a população afrodescendente no Brasil. Para tanto, estudam-se os contornos e as controvérsias que norteiam a definição das ações afirmativas, bem como as principais teorias que buscam fundamentá-las. Além disso, analisa-se a evolução que a temática recebeu na história constitucional brasileira, buscando-se entender as raízes da discriminação sofrida pelos afro-brasileiros e a forma como o Estado tem buscado reverter essa situação. Por fim, discute-se a recente dicotomia entre o uso das ações afirmativas como mecanismo de efetividade do direito fundamental à igualdade real versus o questionamento sobre a abusividade e desproporcionalidade de algumas medidas por elas implementadas. A metodologia utilizada neste texto foi a pesquisa bibliográfica, bem como a análise comparativa das estatísticas sobre direitos humanos e discriminação, elaboradas pela Organização das Nações Unidas (ONU), pela Organização dos Estados Americanos (OEA) e pelo Instituto Brasileiro de Geografia e Estatísticas (IBGE). """,,"""Fundación Dialnet"""
artivo19,"""OS IMPACTOS DAS AÇÕES AFIRMATIVAS E POLÍTICA DE ASSISTÊNCIA ESTUDANTIL NO RENDIMENTO ACADÊMICO""","""Márcia Cristina Costa""","""Revista Contemporânea de Educação, 01 December 2016, Vol.11(22), pp.351-366 [Periódico revisado por pares]""","""Esta revisão de literatura tem como objetivo analisar as relações existentes entre as políticas de assistência estudantil com o rendimento acadêmico dos discentes. Verificando através de obras já publicadas, a existência de indícios que através do recebimento dos benefícios das políticas citadas, o aluno desenvolva condições favoráveis a sua qualidade de vida e consequentemente ao seu rendimento acadêmico. Fez-se necessário rebuscar o conceito de qualidade de vida, para verificar de que forma as políticas poderiam interferir na mesma e assim no desempenho do aluno. Posteriormente apresentam-se as Ações afirmativas e Assistência estudantil e suas ligações com o rendimento acadêmico. """,,Directory of Open Access
artivo20,"""O direito fundamental à educação em face das ações afirmativas""","""Mário Ângelo Oliveira_Pós-Graduado Em Direito Da Administração Pública (Ufu-MG)| Advogado_ Brasil | Giovanna Cunha Mello_ Pós-Graduada Em Direito Processual Civil (Ufu-MG)- Advogada_ Brasil | Tiago Santos Issa_Pós-Graduado Em Direito Empresarial (Ufu-MG)- Advogado_ Brasil""","""Espaço Jurídico, 01 June 2012, Vol.13(2), pp.337-352 [Periódico revisado por pares]""","""O presente trabalho tem por objetivo analisar a adoção das ações afirmativas no sistema de ensino brasileiro como mecanismo de concretização do direito fundamental social à educação. Aborda o desenvolvimento da educação como direito humano, tanto em âmbito nacional quanto internacional, e a... """,,Directory of Open Access
artivo21,"""PRINCÍPIOS DE JUSTIÇA NAS AÇÕES AFIRMATIVAS PARA ACESSO À EDUCAÇÃO SUPERIOR""","""Chaiane de Medeiros Rosa""","""Educação: Teoria e Prática, 01 November 2017, Vol.27(55), pp.227-243 [Periódico revisado por pares]""","""Este estudo tem como objetivo averiguar de que modo os princípios de justiça incidem sobres as políticas afirmativas para acesso à educação superior brasileira. Esta investigação surge da compreensão de que há insuficiência de vagas nas instituições de ensino superior no país, tendo em vista... """,,Directory of Open Access
artivo22,"""(Inter) AÇÕES AFIRMATIVAS: Formação de professores para a decolonização do conhecimento""","""Jessica Santana Bruno | Cláudio Orlando Costa Do Nascimento""","""Cadernos de Gênero e Diversidade, 01 June 2018, Vol.4(2), pp.41-56 [Periódico revisado por pares]""","""O diálogo aqui proposto visa discutir os processos de continuidade da colonização na esfera epistemológica e as vinculações dessa realidade à formação dos indivíduos de grupos sociais historicamente marginalizados (negras/os, indígenas, oriundas/os... """,,Directory of Open Access
artivo23,"""Ações afirmativas e integração do negro no ensino superior: uma relação possível?""","""Tamyris Proenca Bonilha""","""ETD: Educação Temática Digital, 01 December 2011, Vol.13(1), pp.152-167 [Periódico revisado por pares]""","""Dados estatísticos e pesquisas acadêmicas apontam que a trajetória escolar do sujeito negro é significativamente mais acidentada que a do sujeito branco. Dentre os elementos que legitimam tal quadro de desigualdade social se destaca a discriminação racial. O presente artigo discute a integração... """,,Directory of Open Access
artivo24,"""Estudantes cotistas negros e ações afirmativas no ensino superior""","""Benedito Gonçalves Eugenio | Julia Algarra""","""Revista Exitus, 01 May 2018, Vol.8(2), pp.59-84 [Periódico revisado por pares]""","""Neste trabalho, analisamos o percurso de escolarização de estudantes negros dos meios populares que ingressaram no ensino superior por meio da política de ações afirmativas. Foram entrevistados 4 estudantes cotistas negros do curso de Direito da Universidade Estadual do Sudoeste da Bahia-UESB. A pesquisa é qualitativa, do tipo exploratória. O estudo realizado nos permitiu compreender como constituiu-se o processo de educação de estudantes negros até a chegada ao Ensino Superior, bem como sua percepção acerca da escolarização e da vivência do racismo.""","""Acesso e Permanência Estudantes Negros Ensino Superior""",Directory of Open Access
artivo25,"""Preto, gay e do Norte: Ações afirmativas na pele""","""Pereira_ A-L-C-""","""Revista de Antropologia, 2017, Vol.60(1), pp.35-46 [Periódico revisado por pares]""","""Partindo de um convite para falar do ponto de vista de um aluno a respeito da política de ação afirmativa para ingresso em um dos mais importantes programas de pós-graduação do país, ofereço uma reflexão sobre as causas que levaram à necessidade dessa política: o racismo e as suas muitas e dissimuladas variantes em um país só constitucionalmente democrático e igualitário. Para tanto, apresento várias situações de minha história pessoal desde antes da graduação até hoje, articulando essas experiências com alguns dos principais argumentos contrários e favoráveis às políticas de acesso à pós-graduação que começam a ser implementadas no Brasil. Scopus (Elsevier B.V)""",,
artivo26,"""Ações afirmativas no ensino superior e povos indígenas no Brasil: uma trajetória de trabalho""","""Lima_ Antonio Carlos de Souza""","""Horizontes Antropológicos, 31 January 2018, pp.377-448 [Periódico revisado por pares]""","""Este texto apresenta um relato, à guisa de depoimento, da trajetória de um projeto de intervenção desenvolvido por uma equipe de pesquisadores vinculados ao Laboratório de Pesquisas em Etnicidade, Cultura e Desenvolvimento/Departamento de Antropologia/Museu Nacional-Universidade Federal do Rio de Janeiro no fomento a ações afirmativas para o acesso, permanência e sucesso educacional de estudantes indígenas no ensino superior. A equipe do Laced/MN-UFRJ que desenvolveu tais atividades pensou-as à luz da antropologia e de estar institucionalmente baseada numa instituição de ensino superior voltada para a pesquisa e a pós-graduação. O período abarcado é, grosso modo, aquele da primeira década do século XXI. O texto busca recuperar e documentar as condições de possibilidade que facultaram tal intervenção, financiada com recursos da Fundação Ford, e em relação direta com as lutas por ações afirmativas no ensino superior movidas pelo(s) movimento(s) negro(s), caracterizando-a como marcada pela percepção das demandas essenciais para os povos indígenas por terra e sustentabilidade. Narram-se as formas como a equipe do Laced procedeu à indução da demanda de recursos por universidades disponíveis a desenvolverem ações afirmativas para indígenas, a disseminação do debate em torno dessas ações, as articulações para que fossem desenvolvidas políticas governamentais que as fomentassem a mais longo prazo, os conhecimentos e documentos gerados nesse processo. OpenEdition Journals""",,
artivo27,"""AÇÕES AFIRMATIVAS: POLÊMICAS E POSSIBILIDADES SOBRE IGUALDADE RACIAL E O PAPEL DO ESTADO""","""Sales Augusto Dos Santos | Eliane Cavalleiro | Maria Inês Barbosa | Matilde Ribeiro""","""Revista Estudos Feministas, 01 September 2008, Vol.16(3) [Periódico revisado por pares]""","""http://dx.doi-org.ez86.periodicos.capes.gov.br/10.1590/S0104-026X2008000300012 O artigo analisa a importância do papel do Estado para a implementação das políticas públicas de ação afirmativa, especialmente para estudantes negros ingressarem no ensino superior público. Argumenta-se que a ação afirmativa é uma das alternativas para reduzir ou minimizar a desigualdade de inserção entre estudantes negros e brancos de escolas públicas e/ou particulares no ensino superior, especialmente por meio de uma de suas técnicas de implementação: o sistema de cotas. Embora haja vários argumentos contra o sistema de cotas, os autores se concentraram em debater ou contra-argumentar apenas um: o de que o sistema de cotas poderá gerar conflitos raciais no Brasil. """,,Directory of Open Access
artivo28,"""Políticas de ações afirmativas: itinerário histórico e pontuações quanto à realidade brasileira""","""Nunes Do Nascimento Abreu_ Elisangela | Gomes Lima_ Paulo""","""Laplage em revista, 2018, Vol.4(2), pp.179-196 [Periódico revisado por pares]""","""O objetivo desse artigo é contextualizarmos a  formação das políticas de ações afirmativas, os elementos envolvidos em sua proposição, motivos, formas de seu delineamento, centralidade sobre os grupos a serem atingidos, desdobramentos e algumas resultantes de sua implementação em dálogo com a realidade brasileira. Trata-se de uma revisão de literatura, cujo tratamento deu-se por meio da abordagem qualitativa, sem no entanto, pretender apresentar qualquer estado do conhecimento sobre a temática. Concluimos que as ações afirmativas possuem limites inerentes a sua utilização, os quais não foram impedimentos para que diferentes países, assim como no Brasil, com histórico de dimensionável desigualdade racial e social as utilizassem, no entanto, até que se coloque sobre a agenda do dia discussões e encaminhamentos para a universalização, democratização e humanização da educação superior, assumem o papel de marco para a elaboração de políticas públicas mais consistentes quanto à oportunização à esse nível educacional.""",,"""Fundación Dialnet"""
artivo29,"""Políticas públicas e ações afirmativas""","""Cupertino_ Maria Cristina | Maria Doula_ Sheila""","""INTERthesis: Revista Internacional Interdisciplinar, 2010, Vol.7(2), pp.359-363 [Periódico revisado por pares]""","""""",,"""Fundación Dialnet"""
artivo30,"""AÇÕES AFIRMATIVAS NA EDUCAÇÃO: OS AVANÇOS NA REALIDADE BRASILEIRA NA PERSPECTIVA DA UNIVERSIDADE PARA TODOS""","""Ariane Andreia Teixeira Toubia | Paulo Gomes Lima""","""Laplage em Revista, 01 December 2015, Vol.1(3), pp.118-129 [Periódico revisado por pares]""","""O Brasil é um país historicamente marcado pela segregação racial e pelas diferenças sociais apesar de recente as discussões sobre o tema. As ações afirmativas, longe se ser uma formula mágica, buscam reparar algumas injustiças sociais e estabelecer... """,,Directory of Open Access
artivo31,"""Ações afirmativas no brasil: uma análise acerca da discriminação positiva como instrumento de concretização da justiça social""","""Trindade_ Nathália Maria Ariston""","""FIDES: Revista de Filosofia do Direito, do Estado e da Sociedade, 2011, Vol.2(2), pp.142-162 [Periódico revisado por pares]""","""O artigo versa sobre a emblemática questão das ações afirmativas no Brasil. Serão abordadas as principais críticas dirigidas a estas medidas afirmativas, bem como serão explicitadas minuciosamente as razões que fundamentam a sua instituição. Será traçado, ainda, um paralelo entre a necessidade de promover �ações de discriminação positiva� e o papel reservado ao Estado Democrático de Direito, o qual tem o dever de fomentar a cidadania e promover uma efetiva justiça social, respeitando a dignidade dos sujeitos de direito concebidos em suas especificidades e diversidades. """,,"""Fundación Dialnet"""
artivo32,"""PROJETOS DE ESCOLARIZAÇÃO E INGRESSO DE ESTUDANTES NEGROS NA UNIVERSIDADE EM CONTEXTO DE AÇÕES AFIRMATIVAS""","""Andrea Bayerl Mongim""","""Revista Contemporânea de Educação, 01 April 2017, Vol.12(23), pp.143-159 [Periódico revisado por pares]""","""Neste artigo busco analisar, com base em pesquisa etnográfica, projetos de escolarização construídos por discentes negros e oriundos de famílias consideradas de baixa renda que ingressaram na Universidade Federal do Espírito Santo, mediante sistema de reserva de cotas. O implemento de ações afirmativas para ingresso no ensino superior tem assumido lugar de fundamental importância para a efetivação de projetos de escolarização destes estudantes em nível superior. No entanto, além das dificuldades de ordem material presentes no processo de efetivação de tal projeto, são também amplos e significativos os desafios de ordem simbólica. No processo de ingresso e permanência na universidade tem-se observado concepções e práticas discriminatórias e excludentes, por parte de grupos, de agentes institucionais ou nas relações interpessoais. Por esta via, conclui-se que as concepções de justiça subjacentes às políticas de ação afirmativa, propulsoras da objetivação do projeto de ingresso na... """,,Directory of Open Access
artivo33,"""Ações afirmativas: polêmicas e possibilidades sobre igualdade racial e o papel do estado""","""Santos_ Sales Augusto Dos | Cavalleiro_ Eliane | Barbosa_ Maria Inês Da Silva | Ribeiro_ Matilde""","""Revista Estudos Feministas, 01 December 2008, Vol.16(3), pp.913-929 [Periódico revisado por pares]""","""O artigo analisa a importância do papel do Estado para a implementação das políticas públicas de ação afirmativa, especialmente para estudantes negros ingressarem no ensino superior público. Argumenta-se que a ação afirmativa é uma das alternativas para reduzir ou minimizar a desigualdade de inserção entre estudantes negros e brancos de escolas públicas e/ou particulares no ensino superior, especialmente por meio de uma de suas técnicas de implementação: o sistema de cotas. Embora haja vários argumentos contra o sistema de cotas, os autores se concentraram em debater ou contra-argumentar apenas um: o de que o sistema de cotas poderá gerar conflitos raciais no Brasil.""",,
artivo34,"""Educação matemática e ações afirmativas: possibilidades e desafios na docência universitária""","""Silva_ Guilherme Henrique Gomes Da""","""Cadernos de Pesquisa, 01 September 2017, Vol.47(165), pp.820-846 [Periódico revisado por pares]""","""RESUMO O propósito deste artigo é refletir sobre concepções de docentes de cursos superiores da área de exatas em relação à implantação e manutenção de ações afirmativas na universidade. Os dados aqui discutidos foram produzidos a partir de entrevistas com docentes e gestores ligados a cursos de matemática e engenharias. Para a análise dos dados, utilizaram-se ferramentas analíticas da análise de conteúdo, tendo como perspectiva teórica o inquérito crítico. Os resultados podem ser resumidos em quatro temas: além de um assistencialismo; singularidades, particularidades e desempenho de estudantes beneficiados por ações afirmativas; a questão da permanência; e valorização dos docentes envolvidos em práticas voltadas para a permanência do estudante beneficiado por ações afirmativas. """,,"""SciELO SciELO"""
