id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>
405	performance	0.6951	-0.081	1	85	199	9
406	period	1.1776	0.0725	1	79	142	7
407	periodo	-0.706	-0.2	3	57	86	5
408	permanencia	-0.5479	0.0029	2	96	229	14
409	person	1.4054	-0.0375	1	118	364	16
410	perspectiva	-0.5875	0.0355	2	148	324	21
411	perspective	1.3244	0.0582	1	148	400	20
412	pesquisa	-0.3895	-0.0863	3	236	628	39
413	pessoa	-0.6209	-0.0822	2	165	426	23
414	place	1.3972	0.0296	1	72	221	10
415	poder	-0.3788	-0.0788	2	117	225	10
416	poder e	-0.1074	-0.2115	3	56	122	4
417	poi	-0.7435	-0.182	3	108	191	9
418	point	1.2954	0.0433	1	98	167	6
419	policy	1.2718	0.0222	1	199	773	39
420	politic	1.3144	0.0492	1	80	183	11
421	politica	-0.4946	0.0248	2	390	2736	171
422	politica afirmativa	-0.638	-0.2828	3	53	77	5
423	politica e	-0.7363	0.098	2	42	56	5
424	political representation	1.1563	0.0381	1	36	92	6
425	politicas	-0.52	0.1402	2	230	588	38
426	politicas de	-0.5243	-0.101	3	42	59	4
427	politicas publica	-0.5798	-0.0637	3	102	176	11
428	politicas publicas	-0.3307	-0.081	3	155	290	19
429	populacao	-0.0376	-0.0039	2	86	117	8
430	populacao brasileira	-0.5283	0.2567	2	49	85	6
431	populacao negra	-0.5266	0.112	2	98	252	13
432	por meio	-0.6712	-0.1316	3	258	761	43
433	por outro	-0.7496	0.3132	5	52	106	5
434	por parte	-0.5033	-0.205	3	77	130	8
435	por um lado	-0.4561	0.1997	2	37	50	4
436	porem	-0.6748	-0.2869	3	28	57	5
437	porto alegre	0.2028	-0.0987	3	23	42	5
438	portugue	-0.4236	-0.1851	3	150	320	19
439	pos graduacao	-0.5003	0.1773	2	55	91	8
440	possibilidade	-0.5979	0.0766	2	97	158	10
441	possibility	1.4601	0.0226	1	79	184	7
442	power	1.5197	0.0923	1	51	82	4
443	ppi	0.0039	-0.2912	3	51	183	7
444	practice	1.281	0.0176	1	126	254	10
445	pratica	-0.5567	-0.1136	2	117	355	16
446	preceito fundamental	-0.6239	0.3942	6	20	56	4
447	preconceito	-0.7018	-0.0756	2	63	88	5
448	presenca	-0.4258	-0.1097	2	97	209	10
449	presente	-0.5232	0.071	2	220	500	27
450	presente artigo	-0.3915	0.0712	2	98	157	11
451	primeira	-0.2526	0.027	6	77	121	7
452	principalmente	-0.7278	-0.1385	5	98	176	8
453	principio	-0.4504	0.0388	2	110	225	15
454	principle	1.3222	0.0749	1	55	98	6
455	problem	1.2518	0.0351	1	54	73	5
456	problema	-0.4642	0.0705	2	108	163	9
457	process	1.2687	0.0695	1	177	691	34
458	processo	-0.6059	-0.0376	3	256	785	50
459	producao	-0.4349	0.0661	2	134	261	14
460	professore	-0.2502	-0.1049	3	139	273	15
461	program	0.9522	-0.0401	1	91	274	16
462	programa	-0.7477	0.0922	5	201	677	35
463	programa tem	-0.9822	0.381	5	22	118	4
464	project	1.2487	-0.0606	1	85	236	10
465	projeto	-0.7975	-0.0819	3	69	143	8
466	projeto politico quilombola	-0.4607	0.3006	2	15	68	4
467	promocao da	-0.9317	-0.1064	2	29	43	4
468	proposal	1.4205	-0.0038	1	62	120	6
469	proposta	-0.5881	0.0411	2	125	262	16
470	public policy	1.2561	0.0112	1	124	330	17
471	public university	1.0221	-0.0495	1	76	133	6
472	publica	-0.5707	-0.1286	3	262	745	38
473	publicas	-1.0375	0.1663	4	122	232	11
474	publico	-0.2443	0.0554	2	180	320	21
475	purpose	1.2304	0.0072	1	120	251	13
476	qualidade	-0.0014	0.0349	7	113	176	8
477	quando	-0.2881	0.1397	2	34	59	4
478	questao	-0.5204	0.1468	5	149	287	14
479	question	1.3578	-0.0224	1	107	209	11
480	questionario	-0.6055	-0.2578	3	55	100	6
481	questo	-0.6224	-0.1109	5	163	485	25
482	quilombo	0.0976	0.1872	2	34	64	5
483	quota	1.2843	-0.0773	1	128	481	16
484	raca	-0.4654	0.1235	2	151	396	25
485	race	1.3194	0.0325	1	131	547	24
486	raciai	-0.7122	-0.0731	3	109	200	12
487	racial democracy	1.2754	0.1118	1	39	120	7
488	racial discrimination	1.2089	0.0662	1	60	89	4
489	racial e	-0.9525	0.213	4	132	333	16
490	racial inequality	1.373	0.0992	1	44	156	13
491	racism	1.2048	0.0429	1	170	516	31
492	racismo	-0.1672	0.0042	3	158	382	26
493	racismo e	-0.7113	0.2006	2	50	96	6
494	reaco	-0.6742	-0.2783	3	41	63	4
495	realidade	-0.6195	0.1238	6	86	164	8
496	realidade brasileira	-0.1576	-0.0685	3	49	82	5
497	reason	1.5219	0.0175	1	43	90	5
498	recognition	1.0858	-0.0081	1	39	90	5
499	reconhecimento	-0.6604	-0.0383	2	84	149	10
500	recursos humano	-0.5261	-0.3338	3	30	164	4
501	reflection	1.4056	0.0613	1	107	316	13
502	regime	0.4535	0.0417	1	73	133	9
503	relacao entre	-0.1471	-0.1171	2	74	105	4
504	relaco	-0.4617	-0.0958	3	269	1200	68
505	relation	1.3669	0.0326	1	123	288	15
506	relationship	1.3541	0.0891	1	45	85	6
507	report	-0.0398	0.0657	3	152	245	15
508	representacao politica	-0.9117	-0.0026	2	23	64	5
509	research	1.3676	-0.0284	1	168	577	27
510	reserva	-0.1935	-0.0955	3	148	262	12
511	resistance	0.987	0.077	1	56	104	6
512	respeito	-0.773	-0.0089	2	116	219	13
513	result	1.3808	-0.0078	1	135	363	14
514	resultado	-0.5879	-0.1776	3	208	571	29
515	resumo	-0.6312	-0.1358	2	84	135	8
516	right	1.2832	0.0593	1	123	489	26
517	rio	-0.0768	-0.0237	3	149	454	29
518	rio grande	-0.3591	-0.0975	3	122	254	12
519	role	1.0352	0.0591	1	45	91	8
520	sage journals	1.1169	0.0671	1	36	110	6
521	sage publications	1.1373	0.0689	1	36	173	10
522	salarios minimo	-0.2494	-0.3373	3	31	130	5
523	salvador	1.5374	0.0243	1	67	139	5
524	sao paulo	-0.0407	0.1238	5	144	273	19
525	saude	-0.2499	0.0122	2	166	547	31
526	scenario	1.378	0.0996	1	44	104	7
527	scielo	-0.5266	0.206	2	51	79	6
528	science	1.3826	-0.0551	1	107	329	11
529	search	1.1011	-0.0257	1	70	130	6
530	seculo	-0.5273	0.2443	2	55	93	7
531	segundo	-0.5851	-0.2236	3	68	133	7
532	seja	-0.6982	-0.1207	2	65	103	6
533	sem	-0.3756	0.0094	3	68	96	6
534	sense	1.4136	-0.0009	1	77	139	5
535	sentido	-0.6555	-0.0273	2	106	158	10
536	servico social	-0.899	-0.1531	3	23	76	5
537	sexismo	-0.7287	0.2283	2	42	66	4
538	sistema	-0.7502	0.1409	4	339	2051	101
539	slavery	1.2049	0.0716	1	53	74	4
540	social	0.1562	-0.0441	6	162	295	15
541	social change	1.3396	0.0672	1	42	77	4
542	social movement	1.4545	0.0902	1	58	134	8
543	sociedade	-0.5234	-0.0677	2	197	481	28
544	sociedade brasileira	-0.1961	0.1363	2	89	157	10
545	sociedade da informacao	-0.9624	-0.0929	2	22	133	6
546	source	1.136	-0.0046	1	48	137	7
547	source document	0.8515	0.0787	1	45	64	4
548	south africa	1.1196	0.0915	1	39	107	6
549	state	0.9655	0.0203	1	144	272	18
550	stf	0.0143	-0.1235	3	22	34	4
551	struggle	1.4012	0.0596	1	65	103	7
