Title,Link,Abstract,Author Keywords,Index Keywords
"Slum mapping in imbalanced remote sensing datasets using transfer learned deep features","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072028076&doi=10.1109%2fJURSE.2019.8808965&partnerID=40&md5=5519b1b796b016cca32b6bf5e5991a51","Unprecedented urbanization, particularly in countries of the Global South, results in the formation of slums. Here, remote sensing has proven to be an extremely valuable and effective tool for mapping slums. Recent advances in transferring deep features learned in fully convolutional networks (FCN) allow the specific structural types and alignments of buildings in slums to be mapped. The class imbalance of slums is especially challenging in the context of intra-urban variability of slums themselves, and their possible similarity to other urban built-up structures. Thus, in our study we aim to analyze the transfer learning capabilities of FCNs for slum mapping with respect to training on imbalanced datasets and the quantity of available training images. When the slum sample proportion is increased an improvement of the Intersection over Union (IU) of 10% to 30% can be observed. Increasing the total number of images improves the IU up to 20% to 50%. Transfer learning proves extremely valuable in retrieving information on complex and heterogeneous urban structures such as slum patches. © 2019 IEEE.","deep learning; fully convolutional network; remote sensing; slums; transfer learning; urban poverty","Convolution; Deep learning; Housing; Image enhancement; Mapping; Built-up structures; Convolutional networks; Imbalanced Data-sets; slums; Structural type; Transfer learning; Urban poverty; Urban variability; Remote sensing"
"Large-scale building extraction in very high-resolution aerial imagery using Mask R-CNN","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072021187&doi=10.1109%2fJURSE.2019.8808977&partnerID=40&md5=ebd4965c2a786b26d2e29e9c4925eee2","Urban areas are hotspots of complex and dynamic alterations of the Earth's surface. Using deep learning (DL) techniques in remote sensing applications can significantly contribute to document these tremendous changes. Open source building data at a very high level of detail are still scarce or incomplete for many regions, therefore, hindering research and policy to properly provide knowledge on urban structures. In this study, we use a convolutional neural network to extract buildings for the city of Santiago de Chile. We deploy the recently released Mask R-CNN and use a pretrained model (PM) which already has been trained with remote sensing imagery. We fine-tune PM with very high-resolution (VHR) airborne RGB images from our study region and generate the fine-tuned model (FM). To extend the number of training data, we test several data augmentation methods for training purposes and evaluate their performance in context of urban environments. We achieve highest overall accuracy of 92 % by using augmentations and the generated FM. Our findings encourage to use DL methods in the urban context. The presented method can be adapted and applied to other global urban regions, and, help to overcome lacks in open source building data to assess urban environments. © 2019 IEEE.","aerial images; building extraction; classification; deep learning; urban; very high-resolution","Aerial photography; Antennas; Buildings; Classification (of information); Deep learning; Extraction; Neural networks; Urban planning; Aerial images; Building extraction; Convolutional neural network; Large scale buildings; Remote sensing applications; Remote sensing imagery; urban; Very high resolution; Remote sensing"
"A novel cost function for despeckling using convolutional neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072050313&doi=10.1109%2fJURSE.2019.8809042&partnerID=40&md5=9a8c6c60d5b0c14b4ce7e543068aa172","Removing speckle noise from SAR images is still an open issue. It is well know that the interpretation of SAR images is very challenging and despeckling algorithms are necessary to improve the ability of extracting information. An urban environment makes this task more heavy due to different structures and to different objects scale. Following the recent spread of deep learning methods related to several remote sensing applications, in this work a convolutional neural networks based algorithm for despeckling is proposed. The network is trained on simulated SAR data. The paper is mainly focused on the implementation of a cost function that takes account of both spatial consistency of image and statistical properties of noise. © 2019 IEEE.","cnn; deep learning; despeckling; SAR; speckle","Convolution; Cost functions; Deep learning; Image enhancement; Neural networks; Radar imaging; Speckle; Synthetic aperture radar; Convolutional neural network; De-speckling; Different structure; Extracting information; Remote sensing applications; Spatial consistency; Statistical properties; Urban environments; Remote sensing"
"A robust image zero-watermarking using convolutional neural networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068443113&doi=10.1109%2fIWBF.2019.8739245&partnerID=40&md5=1d5890309fd125ea48a97fb9c2be96ce","In the image zero-watermarking techniques, a watermark sequence is not physically embedded into the host image but has a logical linkage with the host image. This property of zero-watermarking is desirable for some kinds of images in which a minimum distortion may cause serious detection or diagnostic errors, such as medical images and remote sensing images. In this paper, we propose a robust zero-watermarking algorithm based on the Convolutional Neural Networks (CNN) and deep learning algorithm, in which robust inherent features of image is generated by the CNN, and it is combined with the owner's watermark sequence using XOR operation. The experimental results show the watermark robustness against several attacks and common image processing. © 2019 IEEE.","Convolutional Neural Networks; Deep Learning; Robust Features; Zero-watermarking","Biometrics; Convolution; Deep learning; Deep neural networks; Diagnosis; Learning algorithms; Medical imaging; Neural networks; Remote sensing; Watermarking; Convolutional neural network; Diagnostic errors; Minimum distortions; Remote sensing images; Robust Features; Watermark robustness; Watermark sequences; Zero-watermarking; Image watermarking"
"Exploring semantic elements for urban scene recognition: Deep integration of high-resolution imagery and OpenStreetMap (OSM)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063528424&doi=10.1016%2fj.isprsjprs.2019.03.019&partnerID=40&md5=effa59fd1cb8aa1075f8973900a5b0ae","Urban scenes refer to city blocks which are basic units of megacities, they play an important role in citizens’ welfare and city management. Remote sensing imagery with largescale coverage and accurate target descriptions, has been regarded as an ideal solution for monitoring the urban environment. However, due to the heterogeneity of remote sensing images, it is difficult to access their geographical content at the object level, let alone understanding urban scenes at the block level. Recently, deep learning-based strategies have been applied to interpret urban scenes with remarkable accuracies. However, the deep neural networks require a substantial number of training samples which are hard to satisfy, especially for high-resolution images. Meanwhile, the crowed-sourced Open Street Map (OSM) data provides rich annotation information about the urban targets but may encounter the problem of insufficient sampling (limited by the places where people can go). As a result, the combination of OSM and remote sensing images for efficient urban scene recognition is urgently needed. In this paper, we present a novel strategy to transfer existing OSM data to high-resolution images for semantic element determination and urban scene understanding. To be specific, the object-based convolutional neural network (OCNN) can be utilized for geographical object detection by feeding it rich semantic elements derived from OSM data. Then, geographical objects are further delineated into their functional labels by integrating points of interest (POIs), which contain rich semantic terms, such as commercial or educational labels. Lastly, the categories of urban scenes are easily acquired from the semantic objects inside. Experimental results indicate that the proposed method has an ability to classify complex urban scenes. The classification accuracies of the Beijing dataset are as high as 91% at the object-level and 88% at the scene level. Additionally, we are probably the first to investigate the object level semantic mapping by incorporating high-resolution images and OSM data of urban areas. Consequently, the method presented is effective in delineating urban scenes that could further boost urban environment monitoring and planning with high-resolution images. © 2019","Data fusion; Deep learning; High-resolution imagery; OpenStreetMap (OSM); Semantic classification; Urban scene recognition","Classification (of information); Computer software maintenance; Data fusion; Deep learning; Deep neural networks; Neural networks; Object detection; Semantics; Urban planning; Classification accuracy; Convolutional neural network; High resolution imagery; OpenStreetMap (OSM); Remote sensing imagery; Remote sensing images; Semantic classification; Urban scenes; Remote sensing; accuracy assessment; artificial neural network; crowdsourcing; data set; environmental monitoring; exploration; heterogeneity; image analysis; image classification; megacity; recognition; remote sensing; sampling; satellite imagery; spectral resolution; urban area; Beijing [China]; China"
"ES-CNN: An end-to-end siamese convolutional neural network for hyperspectral image classification","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072037808&doi=10.1109%2fJURSE.2019.8808991&partnerID=40&md5=81f78fdc754fcc9d8e6b2c317e9d2d66","In recent years, deep learning-based methods have achieved great success in remote sensing image analysis. However, especially in the context of hyperspectral image classification, there is still a lack of labelled samples to feed those data-hungry deep models. To augment the amount of input data, models operate on pixel-pairs have been proposed and Siamese convolutional neural network (S-CNN) is a typical one. S-CNN is used as a pixel-pair feature extractor and an additional classifier like SVM is required. In this paper, we propose an end-to-end version of S-CNN. Taking advantage of the pairwise input and to make better use of spatial information, a voting strategy using neighbouring pixels is also employed to determine the final class label of the centre pixel. Experimental results on real hyperspectral datasets show that the proposed method outperforms the original S-CNN by a considerable margin. © 2019 IEEE.","deep learning; hyperspectral image classification; pixel pair; Siamese neural network; voting strategy","Convolution; Deep learning; Deep neural networks; Hyperspectral imaging; Information use; Neural networks; Pixels; Remote sensing; Spectroscopy; Support vector machines; Class labels; Convolutional neural network; Feature extractor; HyperSpectral; Learning-based methods; Remote sensing images; Spatial informations; Voting strategies; Image classification"
"Road extraction by using atrous spatial pyramid pooling integrated encoder-decoder network and structural similarity loss","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065727861&doi=10.3390%2frs11091015&partnerID=40&md5=b2ae9b4ad560492bbb1a2b11f93ca721","The technology used for road extraction from remote sensing images plays an important role in urban planning, traffic management, navigation, and other geographic applications. Although deep learning methods have greatly enhanced the development of road extractions in recent years, this technology is still in its infancy. Because the characteristics of road targets are complex, the accuracy of road extractions is still limited. In addition, the ambiguous prediction of semantic segmentation methods also makes the road extraction result blurry. In this study, we improved the performance of the road extraction network by integrating atrous spatial pyramid pooling (ASPP) with an Encoder-Decoder network. The proposed approach takes advantage of ASPP's ability to extract multiscale features and the Encoder-Decoder network's ability to extract detailed features. Therefore, it can achieve accurate and detailed road extraction results. For the first time, we utilized the structural similarity (SSIM) as a loss function for road extraction. Therefore, the ambiguous predictions in the extraction results can be removed, and the image quality of the extracted roads can be improved. The experimental results using the Massachusetts Road dataset show that our method achieves an F1-score of 83.5% and an SSIM of 0.893. Compared with the normal U-net, our method improves the F1-score by 2.6% and the SSIM by 0.18. Therefore, it is demonstrated that the proposed approach can extract roads from remote sensing images more effectively and clearly than the other compared methods. © 2019 by the authors.","Deep learning; Remote sensing; Road extraction; Semantic segmentation; Structural similarity","Decoding; Deep learning; Extraction; Feature extraction; Image enhancement; Remote sensing; Roads and streets; Semantics; Learning methods; Multi-scale features; Remote sensing images; Road extraction; Semantic segmentation; Spatial pyramids; Structural similarity; Traffic management; Network coding"
"A stacked fully convolutional networks with feature alignment framework for multi-label land-cover segmentation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065723767&doi=10.3390%2frs11091051&partnerID=40&md5=bc7a5c7900742cf3274b6262ca9abc16","Applying deep-learning methods, especially fully convolutional networks (FCNs), has become a popular option for land-cover classification or segmentation in remote sensing. Compared with traditional solutions, these approaches have shown promising generalization capabilities and precision levels in various datasets of different scales, resolutions, and imaging conditions. To achieve superior performance, a lot of research has focused on constructing more complex or deeper networks. However, using an ensemble of different fully convolutional models to achieve better generalization and to prevent overfitting has long been ignored. In this research, we design four stacked fully convolutional networks (SFCNs), and a feature alignment framework for multi-label land-cover segmentation. The proposed feature alignment framework introduces an alignment loss of features extracted from basic models to balance their similarity and variety. Experiments on a very high resolution(VHR) image dataset with six categories of land-covers indicates that the proposed SFCNs can gain better performance when compared to existing deep learning methods. In the 2nd variant of SFCN, the optimal feature alignment gains increments of 4.2% (0.772 vs. 0.741), 6.8% (0.629 vs. 0.589), and 5.5% (0.727 vs. 0.689) for its f1-score, jaccard index, and kappa coefficient, respectively. © 2019 by the authors.","Ensemble learing; Feature alignment; Fully convolutional networks; Image segmentation; Land-cover classification","Convolution; Deep learning; Image segmentation; Remote sensing; Convolutional model; Convolutional networks; Ensemble learing; Feature alignment; Generalization capability; Imaging conditions; Land cover classification; Very high resolution (VHR) image; Alignment"
"A study on growth stage classification of paddy rice by CNN using NDVI images","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073879868&doi=10.1109%2fCCC.2019.000-4&partnerID=40&md5=b9cd379f4c2c55375ebe2b07b825d7d3","It is difficult for young farmers to inherit technics from skilled farmers, since the population of farmers is decreasing, and their average age is increasing in Japan. Under this background, it is expected that technology for managing rice fields with little effort using sensor or robot technology. In this study, we selected drone as the platform of remote sensing since a drone is useful for precision farming. The purpose of this study is to support farmers by estimating growth stage of paddy rice by using Deep Learning (CNN) and NDVI (Normalized Difference Vegetation Index) images. In this paper, we compared growth stage classification accuracy using images taken at the different height of the drone. © 2019 IEEE.","Growth Stage; NDVI; Paddy Rice; Remote Sensing; UAV","Agriculture; Deep learning; Drones; Image classification; Unmanned aerial vehicles (UAV); Classification accuracy; Different heights; Growth stages; NDVI; Normalized difference vegetation index; Paddy rice; Precision farming; Robot technology; Remote sensing"
"Dictionaries of deep features for land-use scene classification of very high spatial resolution images","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059180070&doi=10.1016%2fj.patcog.2018.12.019&partnerID=40&md5=64132aa3e54cc0057785576e3275d9ae","Land-use classification in very high spatial resolution images is critical in the remote sensing field. Consequently, remarkable efforts have been conducted towards developing increasingly accurate approaches for this task. In recent years, deep learning has emerged as a dominant paradigm for machine learning, and methodologies based on deep convolutional neural networks have received particular attention from the remote sensing community. These methods typically utilize transfer learning and/or data augmentation to accommodate a small number of labeled images in the publicly available datasets in this field. However, they typically require powerful computers and/or a long time for training. In this work, we propose a simple and novel method for land-use classification in very high spatial resolution images, which efficiently combines transfer learning with a sparse representation. Specifically, the proposed method performs the classification of land-use scenes using a modified version of the well-known sparse representation-based classification method. While this method directly uses the training images to form dictionaries, which are employed to classify test images, our method utilizes a pre-trained deep convolutional neural network and the Gaussian mixture model to generate more robust and compact “dictionaries of deep features.” The effectiveness of the proposed method was evaluated on two publicly available datasets: UC Merced and Brazilian Cerrado–Savana. The experimental results suggest that our method can potentially outperform state-of-the-art techniques for land-use classification in very high spatial resolution images. © 2018 Elsevier Ltd","Deep learning; Dictionary learning; Feature learning; Land-use classification; Sparse representation","Convolution; Deep learning; Deep neural networks; Gaussian distribution; Image classification; Image resolution; Land use; Neural networks; Remote sensing; Deep convolutional neural networks; Dictionary learning; Feature learning; Landuse classifications; Sparse representation; Sparse representation based classifications; State-of-the-art techniques; Very high spatial resolution images; Classification (of information)"
"What data are needed for semantic segmentation in earth observation?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072024717&doi=10.1109%2fJURSE.2019.8809071&partnerID=40&md5=5ec2db1b1d2cffc8b6bf6e026dde8e6e","This paper explores different aspects of semantic segmentation of remote sensing data using deep neural networks. Learning with deep neural networks was revolutionized by the creation of ImageNet. Remote sensing benefited of these new techniques, however Earth Observation (EO) datasets remain small in comparison. In this work, we investigate how we can progress towards the ImageNet of remote sensing. In particular, two questions are addressed in this paper. First, how robust are existing supervised learning strategies with respect to data volume? Second, which properties are expected from a large-scale EO dataset? The main contributions of this work are: (i) a strong robustness analysis of existing supervised learning strategies with respect to remote sensing data, (ii) the introduction of a new, large-scale dataset named MiniFrance. © 2019 IEEE.","Deep Learning; Land Use/Land Cover Mapping; Semantic Segmentation; Supervised Learning","Deep learning; Deep neural networks; Land use; Large dataset; Machine learning; Observatories; Semantics; Supervised learning; Data volume; Earth observations; Land use/land cover; Large-scale dataset; Remote sensing data; Semantic segmentation; Strong robustness; Remote sensing"
"A comparative study of texture and convolutional neural network features for detecting collapsed buildings after earthquakes using pre- and post-event satellite imagery","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066730247&doi=10.3390%2frs11101202&partnerID=40&md5=6d9dd2115cb0192391258d48b579a22c","The accurate and quick derivation of the distribution of damaged building must be considered essential for the emergency response. With the success of deep learning, there is an increasing interest to apply it for earthquake-induced building damage mapping, and its performance has not been compared with conventional methods in detecting building damage after the earthquake. In the present study, the performance of grey-level co-occurrence matrix texture and convolutional neural network (CNN) features were comparatively evaluated with the random forest classifier. Preand post-event very high-resolution (VHR) remote sensing imagery were considered to identify collapsed buildings after the 2010 Haiti earthquake. Overall accuracy (OA), allocation disagreement (AD), quantity disagreement (QD), Kappa, user accuracy (UA), and producer accuracy (PA) were used as the evaluation metrics. The results showed that the CNN feature with random forest method had the best performance, achieving an OA of 87.6% and a total disagreement of 12.4%. CNNs have the potential to extract deep features for identifying collapsed buildings compared to the texture feature with random forest method by increasing Kappa from 61.7% to 69.5% and reducing the total disagreement from 16.6% to 14.1%. The accuracy for identifying buildings was improved by combining CNN features with random forest compared with the CNN approach. OA increased from 85.9% to 87.6%, and the total disagreement reduced from 14.1% to 12.4%. The results indicate that the learnt CNN features can outperform texture features for identifying collapsed buildings using VHR remotely sensed space imagery. © 2019 by the authors.","CNN; Convolutional neural network; Earthquake; Grey-level co-occurrence matrix texture; Random forest","Convolution; Damage detection; Decision trees; Deep learning; Earthquakes; Neural networks; Remote sensing; Satellite imagery; Textures; Conventional methods; Convolutional neural network; Grey level co-occurrence matrixes; Random forest classifier; Random forest methods; Random forests; Remote sensing imagery; Very high resolution; Buildings"
"Mapping human settlements with multi-seasonal sentinel-2 imagery and attention-based resnext","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072024145&doi=10.1109%2fJURSE.2019.8809009&partnerID=40&md5=e1331bbedca7f6b733aaf0d485702e50","This paper explores the potential of multi-spectral Sentinel-2 imagery for human settlement mapping, using deep learning based methods. We show first results of a study area in central Europe, with an attention-based ResNeXt to better exploit the spectral information. Reasonable mapping accuracy has been achieved, compared to the state-of-the-art products. Based on the results and comparison with the existing products, we discuss two interesting questions: How can human settlement mapping be made consistent with or complementary to the existing human settlement maps and how can further improvement in human settlement mapping be achieved by exploring deep learning-based approaches. © 2019 IEEE.","attention; classification; convolutional neural network (CNN); human settlement (HS) mapping; Sentinel-2","Classification (of information); Deep learning; Neural networks; Remote sensing; attention; Convolutional neural network; Human settlements; Learning-based approach; Learning-based methods; Mapping accuracy; Sentinel-2; Spectral information; Photomapping"
"Towards combining satellite imagery and VGI for urban LULC classification","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072036616&doi=10.1109%2fJURSE.2019.8808966&partnerID=40&md5=98ce70c5b8451a1fd5675320e6b524e8","In this work we introduce and evaluate a deep learning model, mbCNN, that combines together satellite imagery and Volunteer Geographical Information (VGI) data to deal with different types of built-up surfaces. Differently from most of the previous works that only consider Urban/Non-Urban settings involving only one urban LULC class, here, we investigate the possibility to go a step further and distinguish among several urban land use classes: Residential, industrial, sport fields and non-urban. Experiments on a real-world dataset covering the City of Montpellier (South of France) site are reported. Such results demonstrate the quality of Deep Learning approaches to deal with several types of Urban LULC mapping as well as the positive influence to integrate VGI knowledge in the process. © 2019 IEEE.","Deep Learning; Urban LULC Classification; VGI","Image classification; Land use; Remote sensing; Satellite imagery; Learning approach; Learning models; Montpellier; Real-world; Urban land use; Volunteer geographical informations; Deep learning"
"Adaptive Brightness Learning for Active Object Recognition","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068972767&doi=10.1109%2fICASSP.2019.8682681&partnerID=40&md5=cc292a9e76156fbf9f12404461f4467c","State-of-the-art object detection methods based on deep learning achieved promising performances in recent years. However, the performances are limited by the passive nature of the traditional object recognition framework in ignoring the relationship between imaging configuration and recognition performance as well as the importance of recognition performance feedback for improving image quality. To address the above limitations, an active object recognition method based on reinforcement learning is proposed in this paper by taking adaptive brightness adjustment as an example. Progressive brightness adjustment strategy is learned by maximizing recognition performance on reference high-quality training samples. With the help of active object recognition and brightness adjustment strategy, low-quality images can be converted into high-quality images, and overall performances are improved without retraining the detector. © 2019 IEEE.","deep learning; deep reinforcement learning; object recognition; remote sensing images","Audio signal processing; Deep learning; Image enhancement; Luminance; Machine learning; Object detection; Reinforcement learning; Remote sensing; Speech communication; Brightness adjustments; High quality images; Imaging configurations; Low qualities; Object detection method; Performance feedback; Remote sensing images; State of the art; Object recognition"
"CoinNet: Copy Initialization Network for Multispectral Imagery Semantic Segmentation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058082701&doi=10.1109%2fLGRS.2018.2880756&partnerID=40&md5=cb70558617b13ee36f6483ef33324cb8","Remote sensing imagery semantic segmentation refers to assigning a label to every pixel. Recently, deep convolutional neural networks (CNNs)-based methods have presented an impressive performance in this task. Due to the lack of sufficient labeled remote sensing images, researchers usually utilized transfer learning (TL) strategies to fine tune networks which were pretrained in huge RGB-scene data sets. Unfortunately, this manner may not work if the target images are multispectral/hyperspectral. The basic assumption of TL is that the low-level features extracted by the former layers are similar in most data sets, hence users only require to train the parameters in the last layers that are specific to different tasks. However, if one should use a pretrained deep model in RGB data for multispectral /hyperspectral imagery semantic segmentation, the structure of the input layer has to be adjusted. In this case, the first convolutional layer has to be trained using the multispectral /hyperspectral data sets which are much smaller. Apparently, the feature representation ability of the first convolutional layer will decrease and it may further harm the following layers. In this letter, we propose a new deep learning model, COpy INitialization Network (CoinNet), for multispectral imagery semantic segmentation. The major advantage of CoinNet is that it can make full use of the initial parameters in the pretrained network's first convolutional layer. Comparison experiments on a challenging multispectral data set have demonstrated the effectiveness of the proposed improvement. The demo and a trained network will be published in our homepage. © 2004-2012 IEEE.","CoinNet; deep convolutional network; semantic segmentation; transfer learning (TL)","Convolution; Deep neural networks; Neural networks; Remote sensing; Semantic Web; Semantics; CoinNet; Convolutional networks; Deep convolutional neural networks; Feature representation; Multi-spectral imagery; Remote sensing imagery; Semantic segmentation; Transfer learning; Color image processing; artificial neural network; computer; data set; image analysis; pixel; remote sensing; satellite imagery; segmentation"
"Efficient Convolutional Neural Network Weight Compression for Space Data Classification on Multi-fpga Platforms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068995792&doi=10.1109%2fICASSP.2019.8682732&partnerID=40&md5=a93d4d3121e8a09b91eea25c4ff10eb2","Convolutional Neural Networks (CNNs) represent the cutting edge in signal analysis tasks like classification and regression. Realization of such architectures in hardware capable of performing high throughput computations, with minimal energy consumption, is a key enabling factor towards the proliferation of analysis immediately after acquisition. Our driving problem is a satellite-based remote sensing platform in which onboard signal processing and classification tasks must take place, given strict bandwidth and energy limitations. In this work, we exploit the implementation of a CNN on Field Programmable Gate Array (FPGA) platforms and explore different ways to minimize the impact of different hardware restrictions to performance. We compare our results against competing technologies such as Graphics Processing Units (GPU) in terms of throughput, latency and energy consumption. In actual experimental runs we demonstrate competitive latency and throughput of the FPGA platform vs. GPU technology at an order-of-magnitude energy savings, which is especially important for space-borne computing. © 2019 IEEE.","Convolutional Neural Networks; Field Programmable Gate Arrays; Hardware for Deep Learning; Remote Sensing; Space Data","Audio signal processing; Computer graphics; Convolution; Deep neural networks; Energy conservation; Energy utilization; Field programmable gate arrays (FPGA); Logic gates; Neural networks; Program processors; Remote sensing; Signal receivers; Space optics; Space platforms; Speech communication; Classification tasks; Competing technologies; Convolutional neural network; Energy limitations; Hardware restrictions; High throughput; Remote sensing platforms; Space data; Graphics processing unit"
"Land-Use Detection Using Residual Convolutional Neural Network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078017964&doi=10.1109%2fICASERT.2019.8934607&partnerID=40&md5=85b9faa93c6d1e078090a3d372a8c75d","Land-Use detection is an important application in the context of remote sensing. This objective is to classify, a chunk of a satellite or high-earth orbit image of the earth, as the type of land-use. In this work, we have used recent advancement in computer vision with deep learning to improve the performance to the classification task. We have used a very deep convolutional neural network with the residual connection as a building block and the concept of transfer learning to train this model. The experiment shows that the performance of the classifier is very high with transfer learning on a pre-trained model rather than training from the sketch with such small dataset that is available for land use classification task. Our proposed approach generated a better result than the previously existing method in benchmark dataset. © 2019 IEEE.","Convolutional Neural Network(CNN); Fine Tuning; Land-Use Classification; Transfer Learning","Classification (of information); Convolution; Deep neural networks; Neural networks; Orbits; Remote sensing; Robotics; Benchmark datasets; Building blockes; Classification tasks; Convolutional neural network; Fine tuning; High earth orbits; Landuse classifications; Transfer learning; Land use"
"Self-supervised convolutional neural networks for plant reconstruction using stereo imagery","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072813602&doi=10.14358%2fPERS.85.5.389&partnerID=40&md5=074e64a83cfba0dcd33029414967c036","Stereo matching can provide complete and dense threedimensional reconstruction to study plant growth. Recently, high-quality stereo matching results were achieved combining Semi-Global Matching (SGM) with deep learning. However, due to a lack of suitable training data, this technique is not readily applicable for plant reconstruction. We propose a self-supervised Matching Cost with a Convolutional Neural Network (MC-CNN) scheme to calculate matching cost and test it for plant reconstruction. The MC-CNN network is retrained using the initial matching results obtained from the standard MC-CNN weights. For the experiment, closerange photogrammetric imagery of an in-house plant is used. The results show that the performance of self-supervised MC-CNN is superior to the Census algorithm and comparable to MC-CNN trained by a Light Detection and Ranging point cloud. Another experiment is performed using stereo imagery of a field beech tree. The proposed self-training strategy is tested and has proved capable of identifying the drought condition of trees from the reconstructed leaves. © 2019 American Society for Photogrammetry and Remote Sensing.",,"Convolution; Deep learning; Forestry; Image reconstruction; Neural networks; Optical radar; Plants (botany); Census algorithms; Close-range photogrammetric; Convolutional neural network; Drought conditions; Light detection and ranging; Plant reconstruction; Semi-global matching; Three-dimensional reconstruction; Stereo image processing; algorithm; artificial neural network; digital photogrammetry; drought stress; image analysis; reconstruction; stereo image; supervised classification; Fagus"
"Deep built-structure counting in satellite imagery using attention based re-weighting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063910727&doi=10.1016%2fj.isprsjprs.2019.03.014&partnerID=40&md5=e9762f4ed7071f04f6f68ac101e886c4","In this paper, we attempt to address the challenging problem of counting built-structures in the satellite imagery. Building density is a more accurate estimate of the population density, urban area expansion and its impact on the environment, than the built-up area segmentation. However, building shape variances, overlapping boundaries, and variant densities make this a complex task. To tackle this difficult problem, we propose a deep learning based regression technique for counting built-structures in satellite imagery. Our proposed framework intelligently combines features from different regions of satellite image using attention based re-weighting techniques. Multiple parallel convolutional networks are designed to capture information at different granulates. These features are combined into the FusionNet which is trained to weigh features from different granularity differently, allowing us to predict a precise building count. To train and evaluate the proposed method, we put forward a new large-scale and challenging built-structure-count dataset. Our dataset is constructed by collecting satellite imagery from diverse geographical areas (planes, urban centers, deserts, etc.,) across the globe (Asia, Europe, North America, and Africa) and captures the wide density of built structures. Detailed experimental results and analysis validate the proposed technique. FusionNet has Mean Absolute Error of 3.65 and R-squared measure of 88% over the testing data. Finally, we perform the test on the 274.3×10 3 m 2 of the unseen region, with the error of 19 buildings off the 656 buildings in that area. © 2019 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)","Attention based re-weighting; Building count; Built-up area segmentation; Deep learning; Land use; Regression","Arid regions; Buildings; Deep learning; Land use; Large dataset; Population statistics; Built-up areas; Convolutional networks; Different granularities; Impact on the environment; Population densities; Re-weighting; Regression; Regression techniques; Satellite imagery; accuracy assessment; artificial neural network; data set; environmental impact assessment; estimation method; experimental study; land use change; machine learning; population density; regression analysis; satellite imagery; segmentation; testing method; urban area; Africa; Asia; Europe; North America"
"Detection of informal graveyards in lima using fully convolutional network with VHR images","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072020235&doi=10.1109%2fJURSE.2019.8808983&partnerID=40&md5=53b339ab4eb82641cab4363d158f0c14","Lima is facing rapid urban growth, including a rapid expansion of informal areas, mainly taking place within three peripheral cones. Most of the studies on that subject focused in general on informal settlements. Yet in this paper, we focus on two different informal types, graveyards and housing. They are experiencing complex, intertwined development dynamics due to a lack of land for housing and burials, causing social and public health problems. Housing invasions on burial grounds have never been systematically investigated. Yet, while challenging due to their morphological similarity, the detection of boundaries between graveyards and neighbouring and sometimes invading informal housing is essential, e.g., to prevent the spread of diseases. This study aims to distinguish those similar urban structures of which the visual features are very alike (e.g., rectangular shapes, same colours, organic organization). We used state-of-the-art Fully Convolutional Networks (FCNs) with dilated convolution of increasing spatial kernels to acquire features of deep level of abstraction on Pleiades satellites images. We found that such neural networks can reach a good level in mapping both informal developments with a F1-score of 0.819. Effective monitoring of such developments is important to inform planning and decision-making processes to allow interventions at critical locations. © 2019 IEEE.","barriadas; deep learning; Fully Convolutional Networks (FCNs); informal graveyards; informal settlements; Lima; urban remote sensing","Convolution; Decision making; Deep learning; Housing; Remote sensing; barriadas; Convolutional networks; informal graveyards; Informal settlements; Lima; Urban remote sensing; Urban growth"
